Total runtime (s),Hits channel 1,Hits channel 2,Lifetimes (ns),Delta times (ns),Total coincidences
,,,390,-13.0,
,,,110,-4.5,
,,,3040,4.5,
,,,9130,-5.0,
,,,7920,-2.0,
,,,9500,-4.0,
,,,780,-6.5,
,,,3050,-8.5,
,,,550,-0.5,
,,,3310,-711.5,
,,,6110,-14.0,
,,,10040,-3.5,
,,,750,6.0,
,,,2480,-5.5,
,,,1080,-1.5,
,,,270,-1.5,
,,,2920,-13.5,
,,,2850,764.0,
,,,12620,-12.0,
,,,5320,-5.5,
,,,140,-6.0,
,,,510,-1.0,
,,,340,4.5,
,,,1430,0.5,
,,,1850,-4.5,
,,,3220,-3.5,
,,,4330,-2.5,
,,,13250,-3.5,
,,,1700,-10.5,
,,,3490,-4.5,
,,,1510,2.5,
,,,1110,-10.5,
,,,920,-4.0,
,,,550,0.0,
,,,1550,-10.5,
,,,1600,-13.0,
,,,1970,-1.0,
,,,3130,-10.5,
,,,1890,-2.0,
,,,4070,0.0,
,,,2010,0.5,
,,,2440,-9.0,
,,,2780,-3.0,
,,,1170,-4.5,
,,,130,-1.5,
,,,2200,9.0,
,,,2340,3.5,
,,,4450,-6.0,
,,,1150,-2.5,
,,,820,-5.0,
,,,3540,-5.5,
,,,650,-1.5,
,,,1420,-4.0,
,,,150,4.0,
,,,3050,-3.5,
,,,17840,2.0,
,,,3370,5.5,
,,,2000,-4.0,
,,,1200,3.5,
,,,1540,0.5,
,,,5150,-5.0,
,,,2670,-2.0,
,,,2440,-8.5,
,,,480,-2.5,
,,,250,2.5,
,,,2930,-6.0,
,,,4970,-18.5,
,,,530,-1.0,
,,,2040,-6.0,
,,,130,-4.5,
,,,210,-2.5,
,,,3140,-8.0,
,,,2070,-4.5,
,,,2830,-4.0,
,,,490,-9.5,
,,,1890,-7.0,
,,,2700,-6.0,
,,,4560,-4.5,
,,,450,-0.5,
,,,5020,-3.5,
,,,6440,-9.5,
,,,2480,-6.0,
,,,170,-11.0,
,,,1470,-4.0,
,,,310,-1.0,
,,,1380,-14.0,
,,,2480,-1.5,
,,,1820,-12.5,
,,,700,-8.5,
,,,1560,-9.5,
,,,2290,-11.0,
,,,180,-5.0,
,,,5290,-3.5,
,,,4060,1.5,
,,,1730,-0.5,
,,,1410,-10.5,
,,,7830,-6.5,
,,,590,-4.5,
,,,1780,-4.0,
,,,6000,-17.5,
,,,2320,16.0,
,,,410,-5.0,
,,,1360,-5.0,
,,,17380,-8.0,
,,,2740,-16.0,
,,,1760,-9.5,
,,,3540,-6.0,
,,,4280,-6.5,
,,,430,-2.5,
,,,3880,-6.5,
,,,1070,-8.0,
,,,2550,0.0,
,,,320,255.0,
,,,2330,-187.0,
,,,3430,-8.5,
,,,2670,-0.5,
,,,820,-0.5,
,,,1200,-8.5,
,,,160,-5.5,
,,,1270,-18.0,
,,,410,2.5,
,,,15700,-10.0,
,,,900,-10.5,
,,,7980,-5.5,
,,,1220,-9.5,
,,,3890,-4.5,
,,,5520,-6.0,
,,,500,-3.5,
,,,2820,-1.5,
,,,150,-14.0,
,,,140,-5.0,
,,,930,-16.0,
,,,450,-9.0,
,,,2880,1.5,
,,,1530,-4.5,
,,,5160,2.0,
,,,5080,-8.0,
,,,1550,-10.0,
,,,2790,-2.5,
,,,1170,-7.5,
,,,2660,0.0,
,,,230,-6.0,
,,,7020,-8.0,
,,,1150,-2.5,
,,,1370,-1.5,
,,,2490,4.0,
,,,1180,-1.0,
,,,12380,-6.0,
,,,9950,-8.0,
,,,2760,-8.5,
,,,3530,-2.5,
,,,160,0.5,
,,,4410,-10.5,
,,,2780,-3.0,
,,,13350,-0.5,
,,,16640,-6.0,
,,,7560,-8.5,
,,,540,-4.0,
,,,420,-3.5,
,,,380,-17.5,
,,,1010,4.0,
,,,1120,-13.0,
,,,400,-0.5,
,,,480,-7.5,
,,,140,-6.0,
,,,1190,-7.0,
,,,5130,-4.0,
,,,1630,-6.5,
,,,2120,-8.0,
,,,5510,-14.5,
,,,2510,-4.5,
,,,2130,-5.0,
,,,15690,-5.5,
,,,1720,-16.5,
,,,6640,-16.0,
,,,2480,2.0,
,,,660,-6.5,
,,,1520,2.5,
,,,3290,-4.0,
,,,1870,-7.0,
,,,1330,1.0,
,,,2390,-8.5,
,,,3180,-12.0,
,,,600,-6.5,
,,,2620,8.5,
,,,13530,-4.5,
,,,5180,-6.0,
,,,550,1.0,
,,,900,5.0,
,,,13380,-3.0,
,,,4280,-1.0,
,,,1890,-8.0,
,,,4710,-8.5,
,,,1560,-5.0,
,,,2430,-2.0,
,,,610,7.5,
,,,1520,-4.0,
,,,12470,-6.0,
,,,4740,-7.5,
,,,1370,-4.0,
,,,2940,-9.0,
,,,3870,-3.0,
,,,4440,-9.5,
,,,13510,13.5,
,,,850,2.5,
,,,2510,-5.5,
,,,1070,-3.5,
